rung,system,runs,runs_collapsed,alive_at_end,alive_worst,runs_whole,alive_complete_runs,unemployed,tickets,bread_price,public_debt,public_debt_pct_gdp,shortfall_per_month,public_debt_peak,public_debt_peak_month,runs_debt_repaid,public_debt_repaid_month,gini_cash,gini_wealth,wealth_gap_meals,wealth_bottom10_meals,cash_gap_meals,cash_bottom10_meals,under_water,without_cash,land_held_by_households,gini_wealth_firms_attributed,liquidations,refoundings,bank_bailouts,worst_identity_gap
3 + interest on deposits,debt,10,0,509.0,502,10,509.0,192.6,0.0,13.360202308008486,338655.97920999996,200.74339192405387,3740.4244662480387,338655.97920999996,120.0,0,,0.6714162429059062,0.7571072942675343,436.7985133942758,-2.9133947329690306,77.51246242033069,0.740967634450272,235.5,0.1,0.9490885416666666,0.689854212797251,0.0,0.0,0.0,5.820766091346741e-10
3 + interest on deposits,sumsy,10,0,480.8,467,6,480.8,180.4,0.0,4.594859027458624,0.0,0.0,-459.5003433333333,5981.906940000001,22.0,10,56.0,0.42204318924498774,0.7301279820973702,2286.0679640279977,4.1791312252851816,49.873334656460905,4.675120917317126,8.3,1.8,0.971875,0.7017602602322363,0.0,0.0,0.0,2.764863893389702e-10
4 + theatres,debt,10,0,507.8,505,10,507.8,160.7,293.84166666666664,9.705846371314045,226303.42318,169.32101626110807,2008.655107330324,226303.42318,120.0,0,,0.6988794644195112,0.7590316208050427,451.01538684044255,-2.2814447692000845,77.48308179523642,0.9072449828564441,189.4,0.4,0.9470052083333333,0.6784553698450306,0.0,0.0,0.0,3.2014213502407074e-10
4 + theatres,sumsy,10,0,345.0,310,0,345.0,121.6,192.59166666666664,14.11054386280739,1302.6388199999994,0.9852846812596312,5.314626666666607,6344.3848,33.4,7,93.0,0.7241980918220304,0.6489159344576692,558.5303781202334,-2.9439240162024065,31.803244522699096,0.03547249738108258,171.8,17.6,0.945703125,0.600745204078648,0.0,0.0,0.0,8.731149137020111e-11
5 + government bonds,debt,10,0,506.5,500,10,506.5,161.5,307.54166666666663,4.703010692735412,194663.13347999996,303.6069724265593,1101.12509488671,194663.13347999996,120.0,0,,0.4791551248628565,0.7534330226101071,532.1843271675293,-3.4392129970569507,16.258143617095246,0.5874946153452077,200.3,0.0,0.9365885416666668,0.6934374973788351,0.0,0.0,0.0,3.637978807091713e-11
5 + government bonds,sumsy,10,0,345.0,310,0,345.0,121.6,192.59166666666664,14.11054386280739,1302.6388199999994,0.9852846812596312,5.314626666666607,6344.3848,33.4,7,93.0,0.7241980918220304,0.6489159344576692,558.5303781202334,-2.9439240162024065,31.803244522699096,0.03547249738108258,171.8,17.6,0.945703125,0.600745204078648,0.0,0.0,0.0,8.731149137020111e-11
6 + charge on balances,debt,10,0,505.2,501,10,505.2,161.2,305.20833333333337,4.625597823863281,187221.41829000003,296.72840691042984,978.7183489295043,187221.41829000003,120.0,0,,0.4865013995066544,0.7530218451318148,533.8422959292191,-3.4829452103733773,17.093378641426373,0.618630766581109,200.1,0.0,0.9373697916666666,0.6939393265111978,0.0,0.0,0.0,4.3655745685100555e-11
6 + charge on balances,sumsy,10,0,334.1,308,0,334.1,114.6,204.53333333333333,12.992021072182729,0.0,0.0,-326.88367583333337,5279.363930000001,20.0,10,56.3,0.7120365938033975,0.6381342255924218,520.1441961076126,-2.957663724400856,31.97084564144452,0.03947836334394046,162.7,16.1,0.938671875,0.5856748586260004,0.0,0.0,0.0,1.6007106751203537e-10
7 + two more theatres,debt,10,0,502.7,498,10,502.7,177.0,150.925,10.102091466718292,260058.61962000007,187.47991975834927,2555.213157568981,260058.61962000007,120.0,0,,0.5093537725765559,0.7516545961897367,419.5652255312258,-1.589592942715023,9.539804011803762,0.4546084160938094,141.8,0.0,0.9305989583333332,0.6824490311943615,0.0,0.0,0.0,1.0186340659856796e-10
7 + two more theatres,sumsy,10,0,427.3,399,0,427.3,150.6,205.09166666666664,13.549253842310796,7199.93698,4.056750699929155,128.97934583333318,9532.771110000001,81.6,3,88.33333333333333,0.6871318676801907,0.719836115258104,633.3118081935764,-3.088722968865871,28.16014359413132,0.0508513494017548,197.3,17.8,0.9321614583333334,0.6549054664389825,0.0,0.0,0.0,2.1827872842550278e-10
8 + shareholders & share market,debt,10,0,510.2,508,10,510.2,177.8,154.075,9.205519016179803,254061.28215999994,190.61888493642215,2109.8769267351427,254061.28215999994,120.0,0,,0.4793269460396809,0.7724494037352516,669.750268889202,-1.0920626656141383,11.838762349043293,0.6351208797279104,63.2,0.0,0.93046875,0.7724494037352516,0.0,0.0,0.0,1.4551915228366852e-10
8 + shareholders & share market,sumsy,10,0,497.0,491,10,497.0,172.4,237.8,12.40816702092082,5416.383,2.8139761801726992,142.61819083333347,7275.796569999999,61.7,2,80.5,0.674388092641769,0.7867623404840041,857.4592486511649,-3.503941298251599,35.137844447952475,0.11227388809096854,209.0,15.0,0.9204427083333334,0.7867623404840041,0.0,0.0,0.0,2.6193447411060333e-10
9 co-ops (side rung),debt,10,0,510.3,509,10,510.3,178.6,153.81666666666666,9.28536769579895,246386.5848299999,185.08001439277976,2152.6292903974318,246386.5848299999,120.0,0,,0.45634283727136554,0.7259250266187192,548.8466352601098,4.518418637106825,10.674276139808635,0.6286515179077727,0.0,0.0,0.9302083333333334,0.7259250266187192,0.0,0.0,0.0,1.0186340659856796e-10
9 co-ops (side rung),sumsy,10,0,495.0,485,10,495.0,173.4,240.95833333333334,13.943012839882574,13012.846909999998,6.097553007923031,303.4241624999999,13599.99255,110.4,1,87.0,0.6148623154349049,0.7379495243610178,583.5169953677251,3.3700691651429104,24.424268883282203,0.1409137865712942,0.0,0.0,0.9151041666666666,0.7379495243610178,0.0,0.0,0.0,3.92901711165905e-10
B best SuMSy village: co-ops + reserve,debt,10,0,510.3,509,10,510.3,178.6,153.81666666666666,9.28536769579895,246386.5848299999,185.08001439277976,2152.6292903974318,246386.5848299999,120.0,0,,0.45634283727136554,0.7259250266187192,548.8466352601098,4.518418637106825,10.674276139808635,0.6286515179077727,0.0,0.0,0.9302083333333334,0.7259250266187192,0.0,0.0,0.0,1.0186340659856796e-10
B best SuMSy village: co-ops + reserve,sumsy,10,0,495.0,485,10,495.0,173.4,240.95833333333334,13.943012839882574,13012.846909999998,6.097553007923031,303.4241624999999,13599.99255,110.4,1,87.0,0.6148623154349049,0.7379495243610178,583.5169953677251,3.3700691651429104,24.424268883282203,0.1409137865712942,0.0,0.0,0.9151041666666666,0.7379495243610178,0.0,0.0,0.0,3.92901711165905e-10
