rung,system,villagers,landowners,farms,bakeries,theatres,coops,ownership,founders,share_market,shows,seats_per_theatre,wage_tax,capital_tax,dividend_tax,consumption_tax,wealth_tax,public_jobs_share,benefit_loaves,bonds,reserve_rounds,tax_policy,levers,profit_tax,income_tax_period,profit_tax_period,deposit_interest,deposit_period,bank_rate_start,bank_rate_cap,government_rate,guaranteed_income,buffer,parking_fee,parking_tax,account_fee_person,account_fee_enterprise,charge_on_balances,price_bread,price_grain,price_wage,price_rent,price_ticket,unmet_share,unsold_share,ask_floor,bread_ceiling,planning_margin,greed
"NLD10 levy and land dividend, market entry",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"NLD10 levy and land dividend, market entry",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,3.9406779661016946,4.098305084745762,3.0894915254237283,0.5911016949152541,1.5762711864406778,0.05,0.05,cost,2.0,0.1,
"F8-3 step 8, full money stock, fee 3 %, matching prices",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.03,0.01,0.5,1.5,0.0,3.9406779661016946,4.098305084745762,3.0894915254237283,0.5911016949152541,1.5762711864406778,0.05,0.05,cost,2.0,0.1,
"F8-4 step 8, full money stock, fee 4 %, matching prices",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"F8-4 step 8, full money stock, fee 4 %, matching prices",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.04,0.01,0.5,1.5,0.0,3.3050847457627115,3.43728813559322,2.5911864406779657,0.4957627118644067,1.3220338983050846,0.05,0.05,cost,2.0,0.1,
"FF8-3 step 8, filling up, fee 3 %",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"FF8-3 step 8, filling up, fee 3 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.03,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"FF8-4 step 8, filling up, fee 4 %",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"FF8-4 step 8, filling up, fee 4 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.04,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"GP10-20 step 10, public employment 20 %, parking tax policy",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"GP10-20 step 10, public employment 20 %, parking tax policy",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.2,0.0,false,3,scale,"income 0.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"GP10-30 step 10, public employment 30 %, parking tax policy",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.3,0.0,false,3,scale,"income 0.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"GP10-40 step 10, public employment 40 %, parking tax policy",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"GP10-40 step 10, public employment 40 %, parking tax policy",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.4,0.0,false,3,scale,"income 0.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"GP10-50 step 10, public employment 50 %, parking tax policy",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.5,0.0,false,3,scale,"income 0.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"X1 SuMSy money, debt fiscal package (comparison)",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.0,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"X2 debt money, SuMSy fiscal package (comparison)",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
